player,season,team,competition,age,mp,min_per90,gls_90,ast_90,xg_90,xa_90,gi_90,xgi_90,tos_90,sot_90,keyp_90,aps_pct,sdr_90,ca_pct,tack_90,int_90,yc_90,bcm_90
Lamine Yamal,25/26,Barcelona,All,18,41,82.6,0.6,0.4,0.41,0.33,1.0,0.73,4.0,1.4,2.8,81.3,5.3,21.3,1.4,0.4,0.2,0.3
Lamine Yamal,24/25,Barcelona,All,17,55,82.7,0.4,0.4,0.28,0.28,0.8,0.56,4.4,1.7,1.8,78.9,4.8,18.6,1.2,0.6,0.06,0.4
Lamine Yamal,23/24,Barcelona,All,16,50,59.2,0.2,0.2,0.21,0.26,0.4,0.47,2.6,0.8,1.5,83.3,2.9,28.6,2.4,0.9,0.2,0.2
Lamine Yamal,22/23,Barcelona,All,15,3,37.3,0.0,0.0,0.28,0.27,0.0,0.55,1.6,1.6,2.4,80.3,3.2,,0.8,0.0,0.0,0.8
Bukayo Saka,25/26,Arsenal,All,24,42,68.3,0.3,0.2,0.28,0.25,0.4,0.53,3.0,1.4,2.5,78.6,1.9,31.3,1.4,0.7,0.03,0.3
Bukayo Saka,24/25,Arsenal,All,23,37,70.7,0.4,0.4,0.39,0.35,0.9,0.74,3.3,1.3,2.8,83.4,2.0,28.4,1.5,0.3,0.2,0.3
Bukayo Saka,23/24,Arsenal,All,22,47,82.2,0.5,0.3,0.40,0.31,0.8,0.70,3.0,1.0,2.6,83.3,1.4,24.0,2.0,0.4,0.09,0.3
Bukayo Saka,22/23,Arsenal,All,21,48,78.1,0.4,0.3,0.30,0.17,0.6,0.47,2.5,0.9,2.1,81.7,1.9,22.1,1.6,0.4,0.2,0.1
Bukayo Saka,21/22,Arsenal,All,20,43,78.0,0.3,0.2,,,,2.8,0.9,2.0,79.2,1.4,25.6,1.1,0.7,0.2,0.2
Bukayo Saka,20/21,Arsenal,All,19,46,78.4,0.2,0.2,,,,1.8,0.6,1.3,82.2,1.6,22.8,1.1,0.9,0.05,0.1
Bukayo Saka,19/20,Arsenal,All,18,38,71.2,0.1,0.4,,,,1.1,0.5,1.4,80.8,1.7,18.8,1.7,0.7,0.2,0.07
Bukayo Saka,18/19,Arsenal,All,17,4,33.0,0.0,0.0,,,,3.4,2.7,1.4,77.8,6.1,,0.7,0.0,0.0,0.7
Kylian Mbappé,25/26,Real Madrid,All,26,36,82.7,1.1,0.2,0.90,0.24,1.3,1.13,5.1,2.5,2.6,86.3,2.5,26.9,0.09,0.09,0.2,0.8
Harry Kane,25/26,Bayern Munich,All,31,40,79.8,1.4,0.1,0.90,0.13,1.5,1.03,4.6,2.7,1.5,79.2,1.3,,0.6,0.3,0.08,0.8
Raphinha,25/26,Barcelona,All,28,31,67.9,0.8,0.3,0.52,0.31,1.1,0.83,3.9,1.5,2.9,80.7,1.4,29.8,1.2,0.3,0.2,0.3
Ousmane Dembélé,25/26,PSG,All,28,29,51.9,0.8,0.5,0.51,0.29,1.3,0.80,3.6,1.6,3.5,84.3,1.5,31.8,0.5,0.2,0.06,0.5
Michael Olise,25/26,Bayern Munich,All,23,40,78.9,0.5,0.7,0.37,0.52,1.1,0.90,3.8,1.7,3.1,85.7,2.6,20.0,1.1,0.5,0.3,0.5
Luis Díaz,25/26,Bayern Munich,All,27,39,83.1,0.6,0.4,0.47,0.25,1.0,0.72,3.1,1.5,2.4,86.8,2.4,16.7,0.7,0.5,0.2,0.7
Mohamed Salah,25/26,Liverpool,All,32,35,78.9,0.3,0.3,0.38,0.27,0.6,0.64,3.0,1.0,2.3,76.7,0.9,21.4,0.6,0.3,0.07,0.7
Marcus Rashford,25/26,Barcelona,All,27,40,54.7,0.5,0.4,0.31,0.24,0.9,0.54,4.2,1.5,2.4,83.7,1.5,24.6,0.6,0.08,0.08,0.6
Kvaratskhelia,25/26,PSG,All,23,37,57.5,0.5,0.3,0.33,0.24,0.8,0.58,3.9,1.4,2.1,87.9,2.4,17.3,1.5,0.6,0.1,0.3
Bradley Barcola,25/26,PSG,All,22,37,64.1,0.5,0.2,0.49,0.21,0.6,0.70,3.1,1.4,2.4,84.7,1.8,24.1,1.6,0.6,0.2,0.9
Leroy Sané,25/26,Galatasaray,All,29,33,79.6,0.2,0.2,0.21,0.24,0.4,0.45,1.9,0.5,1.7,84.9,2.9,26.0,1.8,0.5,0.07,0.2
Florian Wirtz,25/26,Liverpool,All,21,41,72.2,0.2,0.2,0.23,0.24,0.4,0.47,2.1,0.8,2.6,84.2,1.7,20.0,1.4,0.4,0.06,0.3
Désiré Doué,25/26,PSG,All,20,30,57.8,0.5,0.2,0.43,0.25,0.7,0.68,3.6,1.4,2.6,86.2,2.3,25.6,2.2,0.9,0.05,0.5
