year,spending_millions,growth_pct,programmatic_pct,in_app_pct,youtube_time_pct,programmatic_dollars,manual_dollars,in_app_dollars,mobile_web_dollars,youtube_implied_opportunity,non_youtube_opportunity,automation_velocity,dollars_per_yt_attention_point,era
2011,63.8,140.1,,,,,,,,,,,,Act 1: Wild West
2012,246.0,285.4,,,,,,,,,,,,Act 1: Wild West
2013,655.6,166.5,2.6,,,17.0456,638.5544,,,,,,,Act 1: Wild West
2014,1400.0,113.0,12.3,,,172.20000000000002,1227.8,,,,,9.700000000000001,,Act 1: Wild West
2015,2600.0,88.0,40.4,,,1050.3999999999999,1549.6000000000001,,,,,28.099999999999998,,Act 1: Wild West
2016,4100.0,57.0,66.1,,,2710.0999999999995,1389.9000000000005,,,,,25.699999999999996,,Act 1: Wild West
2017,9800.0,137.7,80.0,72.6,41.9,7840.0,1960.0,7114.8,2685.2,4106.2,5693.8,13.900000000000006,233.89021479713605,Act 2: Automation Revolution
2018,14700.0,49.9,82.0,76.5,37.3,12054.0,2646.0,11245.5,3454.5,5483.1,9216.9,2.0,394.10187667560325,Act 2: Automation Revolution
2019,20400.0,39.1,84.0,78.7,33.0,17136.0,3264.0,16054.800000000001,4345.199999999999,6732.0,13668.0,2.0,618.1818181818181,Act 2: Automation Revolution
2020,27700.0,35.9,85.0,79.9,27.2,23545.0,4155.0,22132.300000000003,5567.699999999997,7534.400000000001,20165.6,1.0,1018.3823529411765,Act 2: Automation Revolution
2021,40800.0,47.0,89.0,84.5,24.5,36312.0,4488.0,34476.0,6324.0,9996.0,30804.0,4.0,1665.3061224489795,Act 2: Automation Revolution
2022,47200.0,15.8,89.5,89.4,21.8,42244.0,4956.0,42196.8,5003.199999999997,10289.6,36910.4,0.5,2165.137614678899,Act 2: Automation Revolution
2023,56600.0,19.9,91.9,94.1,21.0,52015.4,4584.5999999999985,53260.6,3339.4000000000015,11886.0,44714.0,2.4000000000000057,2695.2380952380954,Act 3: Fragmentation Era
2024,70900.0,25.2,93.1,96.1,20.8,66007.9,4892.100000000006,68134.9,2765.100000000006,14747.2,56152.8,1.1999999999999886,3408.653846153846,Act 3: Fragmentation Era
2025,86000.0,21.4,93.8,96.8,22.1,80668.0,5332.0,83248.0,2752.0,19006.0,66994.0,0.7000000000000028,3891.4027149321264,Act 3: Fragmentation Era
2026,101300.0,17.8,94.6,97.1,22.8,95829.79999999999,5470.200000000012,98362.3,2937.699999999997,23096.4,78203.6,0.7999999999999972,4442.982456140351,Act 3: Fragmentation Era
2027,116700.0,15.2,95.2,97.3,23.5,111098.40000000001,5601.599999999991,113549.09999999999,3150.9000000000087,27424.5,89275.5,0.6000000000000085,4965.95744680851,Act 3: Fragmentation Era
2028,130800.00000000001,12.0,,,,,,,,,,,,Act 3: Fragmentation Era
2029,144700.0,10.6,,,,,,,,,,,,Act 3: Fragmentation Era
